Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
LSGAN,92,150,0.4573,0.0877,0.0667,
LSGAN,93,150,0.4698,0.0632,0.0851,
LSGAN,94,150,0.4668,0.0622,0.0724,
LSGAN,95,150,0.461,0.0668,0.0531,
LSGAN,96,150,0.4695,0.0678,0.0668,
LSGAN,97,150,0.3663,0.162,0.0749,
LSGAN,98,150,0.4583,0.0659,0.0539,
LSGAN,99,150,0.4652,0.0658,0.0715,
LSGAN,100,150,0.4691,0.0687,0.0496,45.1584
LSGAN,101,150,0.4727,0.0648,0.0542,
LSGAN,102,150,0.4744,0.0657,0.0708,
LSGAN,103,150,0.4657,0.0632,0.0626,
LSGAN,104,150,0.4636,0.0642,0.079,
LSGAN,105,150,0.468,0.0613,0.0571,
LSGAN,106,150,0.4741,0.0618,0.0706,
LSGAN,107,150,0.47,0.0631,0.0493,
LSGAN,108,150,0.4423,0.1037,0.1039,
LSGAN,109,150,0.4298,0.0793,0.0602,
LSGAN,110,150,0.4629,0.0556,0.0647,40.3515
LSGAN,111,150,0.4727,0.061,0.0676,
LSGAN,112,150,0.4613,0.063,0.0646,
LSGAN,113,150,0.4696,0.056,0.0745,
LSGAN,114,150,0.4637,0.0592,0.0547,
LSGAN,115,150,0.4764,0.0625,0.062,
LSGAN,116,150,0.476,0.0594,0.0694,
LSGAN,117,150,0.4706,0.0607,0.0625,
LSGAN,118,150,0.4683,0.0516,0.0695,
LSGAN,119,150,0.4727,0.0577,0.0675,
LSGAN,120,150,0.4651,0.061,0.0587,42.469
LSGAN,121,150,0.4763,0.0548,0.0675,
LSGAN,122,150,0.4678,0.0555,0.0556,
LSGAN,123,150,0.4689,0.0533,0.0587,
LSGAN,124,150,0.4679,0.0584,0.0651,
LSGAN,125,150,0.4735,0.0536,0.0595,
LSGAN,126,150,0.4647,0.0515,0.0563,
LSGAN,127,150,0.4778,0.0518,0.0594,
LSGAN,128,150,0.4805,0.0542,0.0691,
LSGAN,129,150,0.4767,0.0502,0.0762,
LSGAN,130,150,0.4446,0.0799,0.0572,40.2957
LSGAN,131,150,0.4748,0.0515,0.0743,
LSGAN,132,150,0.4782,0.0557,0.0631,
LSGAN,133,150,0.4706,0.0467,0.0744,
LSGAN,134,150,0.4777,0.0552,0.0643,
LSGAN,135,150,0.4523,0.0932,0.0813,
LSGAN,136,150,0.4622,0.0436,0.0762,
LSGAN,137,150,0.4741,0.0473,0.0675,
LSGAN,138,150,0.4469,0.0829,0.0646,
LSGAN,139,150,0.4329,0.0733,0.044,
LSGAN,140,150,0.473,0.0442,0.0522,39.7487
LSGAN,141,150,0.4743,0.0471,0.0614,
LSGAN,142,150,0.487,0.0467,0.0592,
LSGAN,143,150,0.4803,0.049,0.0497,
LSGAN,144,150,0.4834,0.0455,0.0444,
LSGAN,145,150,0.4773,0.048,0.0654,
LSGAN,146,150,0.4546,0.0837,0.0616,
LSGAN,147,150,0.4688,0.0406,0.0648,
LSGAN,148,150,0.4791,0.0456,0.058,
LSGAN,149,150,0.4907,0.0441,0.0624,
LSGAN,150,150,0.4821,0.0471,0.0733,39.9079
WGAN,1,150,0.7177,-1.3935,0.0895,
WGAN,2,150,0.6108,-1.1676,0.1069,
WGAN,3,150,0.5106,-0.9973,0.0932,
WGAN,4,150,0.2871,-0.7359,0.0858,
WGAN,5,150,0.2616,-0.6966,0.0891,
WGAN,6,150,0.2385,-0.6553,0.0903,
WGAN,7,150,0.2422,-0.607,0.0919,
WGAN,8,150,0.2989,-0.5798,0.1002,
WGAN,9,150,0.2906,-0.5747,0.0883,
WGAN,10,150,0.2385,-0.5356,0.0922,126.9515
WGAN,11,150,0.2533,-0.5316,0.0921,
WGAN,12,150,0.2788,-0.5724,0.1138,
WGAN,13,150,0.2214,-0.5426,0.1111,
WGAN,14,150,0.2698,-0.5712,0.1211,
WGAN,15,150,0.2281,-0.5265,0.1077,
WGAN,16,150,0.2974,-0.491,0.09,
WGAN,17,150,0.2396,-0.4591,0.083,
WGAN,18,150,0.2542,-0.4153,0.0877,
WGAN,19,150,0.1993,-0.3952,0.0942,
WGAN,20,150,0.2247,-0.3774,0.0944,117.9471
WGAN,21,150,0.2176,-0.3741,0.0923,
WGAN,22,150,0.1553,-0.3802,0.0903,
WGAN,23,150,0.1475,-0.3951,0.0951,
WGAN,24,150,0.2923,-0.6284,0.1062,
WGAN,25,150,0.2029,-0.5404,0.1051,
WGAN,26,150,0.1693,-0.4481,0.0963,
WGAN,27,150,0.1676,-0.4188,0.1058,
WGAN,28,150,0.1317,-0.4226,0.115,
WGAN,29,150,0.1661,-0.427,0.0998,
WGAN,30,150,0.1487,-0.3986,0.0907,108.0879
WGAN,31,150,0.1645,-0.3882,0.0995,
WGAN,32,150,0.1781,-0.3898,0.0886,
WGAN,33,150,0.1802,-0.3961,0.1037,
WGAN,34,150,0.1914,-0.4073,0.1049,
WGAN,35,150,0.1931,-0.432,0.0958,
WGAN,36,150,0.1768,-0.4444,0.0966,
WGAN,37,150,0.1632,-0.4135,0.1041,
WGAN,38,150,0.206,-0.4224,0.0952,
WGAN,39,150,0.1948,-0.4526,0.1096,
WGAN,40,150,0.174,-0.4615,0.0916,85.5287
WGAN,41,150,0.18,-0.4005,0.0905,
WGAN,42,150,0.1946,-0.394,0.0865,
WGAN,43,150,0.148,-0.3829,0.0973,
