Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
HINGE,72,100,4.7458,0.181,0.0689,
HINGE,73,100,4.1513,0.1147,0.0829,
HINGE,74,100,4.0692,0.0923,0.0983,
HINGE,75,100,4.0139,0.105,0.0725,
HINGE,76,100,3.8395,0.0905,0.0974,
HINGE,77,100,3.8317,0.1124,0.0991,
HINGE,78,100,3.6262,0.1098,0.0817,
HINGE,79,100,3.7195,0.096,0.1022,
HINGE,80,100,3.6414,0.1202,0.0959,104.5465
HINGE,81,100,3.534,0.1268,0.0811,
HINGE,82,100,3.6481,0.1158,0.0601,
HINGE,83,100,3.7349,0.0837,0.0503,
HINGE,84,100,3.7112,0.1633,0.1098,
HINGE,85,100,3.3625,0.1142,0.1019,
HINGE,86,100,3.2211,0.1234,0.0945,
HINGE,87,100,3.5692,0.0497,0.0196,
HINGE,88,100,7.9234,0.0674,0.1764,
HINGE,89,100,5.4993,0.0645,0.0984,
HINGE,90,100,4.3924,0.0905,0.1067,76.3265
HINGE,91,100,3.6342,0.1193,0.0988,
HINGE,92,100,3.3411,0.1425,0.0978,
HINGE,93,100,3.2733,0.1566,0.1081,
HINGE,94,100,3.1989,0.1427,0.1024,
HINGE,95,100,3.1731,0.0969,0.0747,
HINGE,96,100,3.2839,0.1409,0.1037,
HINGE,97,100,3.2659,0.108,0.1021,
HINGE,98,100,3.1289,0.1707,0.1214,
HINGE,99,100,3.266,0.1285,0.1217,
HINGE,100,100,3.7461,0.0483,0.0364,237.5622
HYBRID,1,100,43.3293,-76.6479,0.1186,
HYBRID,2,100,-10.6316,-15.2804,0.0972,
HYBRID,3,100,9.4881,-24.6314,0.1007,
HYBRID,4,100,7.4007,-32.842,0.1059,
HYBRID,5,100,-0.5616,-23.864,0.1023,
HYBRID,6,100,1.0857,1.6609,0.1135,
HYBRID,7,100,-3.7436,-5.9724,0.1051,
HYBRID,8,100,-5.2715,-17.3281,0.1357,
HYBRID,9,100,-7.7055,-9.1387,0.1407,
HYBRID,10,100,-17.4009,-9.8724,0.1415,152.2253
HYBRID,11,100,-15.621,-6.9566,0.1271,
HYBRID,12,100,-33.1031,-20.8352,0.1179,
HYBRID,13,100,-42.3096,-28.8579,0.1249,
HYBRID,14,100,-49.5648,-18.4428,0.1333,
HYBRID,15,100,-54.2917,-24.5699,0.1258,
HYBRID,16,100,-55.3053,-6.9073,0.1239,
HYBRID,17,100,-57.8899,-20.4467,0.1364,
HYBRID,18,100,-62.5671,-21.8453,0.1739,
HYBRID,19,100,-67.0541,129.1859,0.142,
HYBRID,20,100,-73.0833,-36.3976,0.1266,163.5049
HYBRID,21,100,-82.8943,-30.9206,0.1114,
HYBRID,22,100,-91.1406,-62.1667,0.1167,
HYBRID,23,100,-101.0758,876.3702,0.1203,
HYBRID,24,100,-104.3877,24.1092,0.1218,
HYBRID,25,100,-100.8605,-47.9812,0.1274,
HYBRID,26,100,-106.7914,-10.5933,0.1258,
HYBRID,27,100,-117.7948,102.2935,0.1112,
HYBRID,28,100,-126.7934,-2.7813,0.1206,
HYBRID,29,100,-137.5744,154.2358,0.1345,
HYBRID,30,100,-139.392,-19.5747,0.0981,155.649
HYBRID,31,100,-149.4874,-4.2363,0.1285,
HYBRID,32,100,-148.1989,37.9507,0.1287,
HYBRID,33,100,-149.6041,-15.9824,0.1417,
HYBRID,34,100,-159.0107,-6.8106,0.131,
