Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
WGAN,44,50,0.1236,-0.3847,0.1177,
WGAN,45,50,0.2054,-0.4236,0.1098,
WGAN,46,50,0.1955,-0.4318,0.1083,
WGAN,47,50,0.1945,-0.4821,0.1181,
WGAN,48,50,0.1425,-0.4677,0.1148,
WGAN,49,50,0.1786,-0.4813,0.1089,
WGAN,50,50,0.2333,-0.4854,0.0868,106.5689
WGANGP,1,50,37.0665,-25.2639,0.046,
WGANGP,2,50,21.504,-9.7064,0.0577,
WGANGP,3,50,33.8011,-8.6332,0.0671,
WGANGP,4,50,43.5304,-7.5201,0.0675,
WGANGP,5,50,60.1407,9.3161,0.0755,
WGANGP,6,50,71.0929,7.6273,0.0578,
WGANGP,7,50,74.4864,28.0111,0.0714,
WGANGP,8,50,95.6812,49.1184,0.0987,
WGANGP,9,50,110.4398,5.6529,0.0612,
WGANGP,10,50,75.6244,-4.3844,0.0978,147.4841
WGANGP,11,50,97.8606,-7.0316,0.0821,
WGANGP,12,50,112.5762,-4.7472,0.0916,
WGANGP,13,50,102.5559,-5.5853,0.0748,
WGANGP,14,50,121.2827,45.9509,0.1166,
WGANGP,15,50,125.4951,57.5582,0.0685,
WGANGP,16,50,132.3826,14.1491,0.0885,
WGANGP,17,50,142.0797,220.2991,0.0833,
WGANGP,18,50,141.497,3.8598,0.0723,
WGANGP,19,50,174.7642,-15.606,0.0938,
WGANGP,20,50,165.6711,421.4497,0.0738,140.9365
WGANGP,21,50,174.4649,116.2948,0.0679,
WGANGP,22,50,199.9432,61.3825,0.0847,
WGANGP,23,50,211.1702,1111.3332,0.0834,
WGANGP,24,50,198.0571,40.8823,0.0986,
WGANGP,25,50,210.1317,1508.5558,0.0854,
WGANGP,26,50,241.1978,46.9794,0.0733,
WGANGP,27,50,233.1053,28.3897,0.1139,
WGANGP,28,50,206.665,541.7991,0.0845,
WGANGP,29,50,236.0318,143.0524,0.0646,
WGANGP,30,50,239.6264,159.1396,0.0977,204.8774
WGANGP,31,50,227.3213,-15.4192,0.0778,
WGANGP,32,50,231.6572,191.2175,0.0791,
WGANGP,33,50,249.972,100.7167,0.106,
WGANGP,34,50,270.1793,47.3788,0.0731,
WGANGP,35,50,281.3619,246.1074,0.0881,
WGANGP,36,50,296.7792,301.1873,0.0793,
WGANGP,37,50,304.6176,271.0636,0.09,
WGANGP,38,50,319.9072,32.2829,0.0738,
WGANGP,39,50,382.3818,1748.9985,0.0961,
WGANGP,40,50,409.4077,1006.7025,0.0756,122.0056
WGANGP,41,50,409.8668,1380.5783,0.0703,
WGANGP,42,50,365.7223,87.8321,0.0724,
WGANGP,43,50,325.3732,1262.7259,0.0825,
WGANGP,44,50,349.9918,64.0069,0.1185,
WGANGP,45,50,330.2454,419.3055,0.0733,
WGANGP,46,50,376.3844,35.9961,0.0797,
WGANGP,47,50,367.9549,101.2252,0.0726,
WGANGP,48,50,350.3546,52.4702,0.0806,
WGANGP,49,50,324.7723,957.9301,0.0626,
WGANGP,50,50,333.8394,164.7819,0.0746,130.7766
HINGE,1,50,5.6641,0.8649,0.0838,
HINGE,2,50,2.3289,0.9594,0.0983,
HINGE,3,50,2.1283,1.0079,0.0821,
HINGE,4,50,2.2106,0.9122,0.0554,
HINGE,5,50,2.2104,0.8225,0.0794,
HINGE,6,50,2.4122,0.6774,0.0784,
HINGE,7,50,2.527,0.59,0.1049,
HINGE,8,50,2.5215,0.5746,0.0998,
HINGE,9,50,2.7491,0.4745,0.0882,
HINGE,10,50,2.5997,0.444,0.0888,116.9064
HINGE,11,50,2.6021,0.5186,0.0855,
HINGE,12,50,2.5005,0.6156,0.0527,
HINGE,13,50,2.614,0.4935,0.0877,
HINGE,14,50,2.6856,0.4319,0.0884,
HINGE,15,50,2.6753,0.3407,0.0897,
HINGE,16,50,2.6823,0.3399,0.102,
HINGE,17,50,2.7196,0.3296,0.0816,
HINGE,18,50,2.8633,0.3279,0.1001,
HINGE,19,50,2.976,0.2787,0.0768,
HINGE,20,50,2.9778,0.2712,0.074,70.4921
HINGE,21,50,3.0567,0.2722,0.0687,
HINGE,22,50,3.0503,0.2824,0.067,
HINGE,23,50,3.0099,0.231,0.0769,
HINGE,24,50,3.114,0.266,0.0866,
HINGE,25,50,3.1007,0.2149,0.0791,
HINGE,26,50,3.0944,0.2523,0.0832,
HINGE,27,50,3.1706,0.2616,0.1124,
HINGE,28,50,3.1126,0.2038,0.1054,
HINGE,29,50,3.1674,0.2357,0.0514,
HINGE,30,50,3.2459,0.2398,0.0702,62.0199
HINGE,31,50,3.0906,0.186,0.0864,
HINGE,32,50,3.1814,0.2164,0.0679,
HINGE,33,50,3.1961,0.1988,0.084,
HINGE,34,50,3.2245,0.2334,0.073,
HINGE,35,50,3.3112,0.1913,0.0896,
HINGE,36,50,3.2619,0.1634,0.0659,
HINGE,37,50,3.279,0.2231,0.0705,
HINGE,38,50,3.3672,0.1752,0.0826,
HINGE,39,50,3.5001,0.2003,0.0997,
HINGE,40,50,3.5361,0.1733,0.0809,60.7439
HINGE,41,50,3.5275,0.2101,0.052,
HINGE,42,50,3.4992,0.1618,0.0862,
HINGE,43,50,3.6219,0.1912,0.0717,
HINGE,44,50,3.7415,0.1349,0.071,
HINGE,45,50,3.8728,0.1738,0.0847,
HINGE,46,50,3.7688,0.1395,0.0663,
HINGE,47,50,4.0924,0.1424,0.102,
HINGE,48,50,4.0068,0.1701,0.0509,
HINGE,49,50,4.0164,0.1862,0.0527,
HINGE,50,50,4.0956,0.1797,0.0543,67.0942
